old_filename;new_filename
Karl_Philipp_Moritz_-_Fragmente_aus_dem_Tagebuche_eines_Geistersehers_(1787).xml;1787_Moritz_Fragmente-aus-dem.xml
Klabund_-_Franziskus_(1921).xml;1921_Klabund_Franziskus.xml
Klabund_-_Hieronymus_(1928).xml;1928_Klabund_Hieronymus.xml
Klabund_-_Mohammed_(1917).xml;1917_Klabund_Mohammed.xml
Klabund_-_Moreau_(1915).xml;1915_Klabund_Moreau.xml
Kurd_Lasswitz_-_Homchen_(1902).xml;1902_Lasswitz_Homchen.xml
Leopold_von_Sacher-Masoch_-_Der_Capitulant_(1875).xml;1875_von-Sacher-Masoch_Der-Capitulant.xml
Leopold_von_Sacher-Masoch_-_Don_Juan_von_Kolomea_(1875).xml;1875_von-Sacher-Masoch_Don-Juan-von.xml
Ludwig_Aurbacher_-_Erzaehlungen,_Lieder_und_Sprueche_aus_dem_Allerley_(1847).xml;1847_Aurbacher_Erzaehlungen.xml
Ludwig_Bechstein_-_In_optima_forma_(1854).xml;1854_Bechstein_In-optima-forma.xml
Ludwig_Tieck_-_Die_schoene_Magelone_(1812).xml;1812_Tieck_Die-schoene-Magelone.xml
Manfred_Kyber_-_Balduin_Brummsel_und_andere_Tiergeschichten_(1933).xml;1933_Kyber_Balduin-Brummsel-und.xml
Marie_von_Ebner-Eschenbach_-_Krambambuli_(1884).xml;1884_von-Ebner-Eschenbach_Krambambuli.xml
Matthias_Blank_-_Der_Mord_im_Ballsaal_(1909).xml;1909_Blank_Der-Mord-im.xml
Max_Dauthendey_-_Der_Knabe_auf_dem_Kopf_des_Elephanten_(1909).xml;1909_Dauthendey_Der-Knabe-auf.xml
Max_Dauthendey_-_Die_Abendglocken_vom_Mijderatempel_hoeren_(1909).xml;1909_Dauthendey_Die-Abendglocken-vom.xml
Max_Dauthendey_-_Die_acht_Gesichter_am_Biwasee_(1911).xml;1911_Dauthendey_Die-acht-Gesichter.xml
Oskar_Panizza_-_Aus_dem_Tagebuch_eines_Hundes_(1892).xml;1892_Panizza_Aus-dem-Tagebuch.xml
Otto_Julius_Bierbaum_-_Im_Kahne_(1895).xml;1895_Bierbaum_Im-Kahne.xml
Paul_Ernst_-_Komoedianten-_und_Spitzbubengeschichten_(1920).xml;1920_Ernst_Komoedianten-und-Spitzbubengeschichten.xml
Paul_Heyse_-_Das_Glueck_von_Rothenburg_(1881).xml;1881_Heyse_Das-Glueck-von.xml
Peter_Rosegger_-_Jakob_der_Letzte_(1889).xml;1889_Rosegger_Jakob-der-Letzte.xml
Salomon_Gessner_-_Daphnis_(1754).xml;1754_Gessner_Daphnis.xml
Salomon_Gessner_-_Idas_und_Mycon_(1777).xml;1777_Gessner_Idas-und-Mycon.xml
Sophie_Woerishoeffer_-_Das_Naturforscherschiff_(1880).xml;1880_Woerishoeffer_Das-Naturforscherschiff.xml
Theodor_Storm_-_Von_Kindern_und_Katzen_und_wie_sie_die_Nine_begruben_(1876).xml;1876_Storm_Von-Kindern-und.xml
Wilhelm_Heinrich_Riehl_-_Der_stumme_Ratsherr_(1895).xml;1895_Riehl_Der-stumme-Ratsherr.xml
Wilhelm_Jensen_-_Karin_von_Schweden_(1872).xml;1872_Jensen_Karin-von-Schweden.xml
Wilhelm_Raabe_-_Im_Siegeskranze_(1866).xml;1866_Raabe_Im-Siegeskranze.xml
Anklam_Louise_Kindergeschichten_Der_wilde_Arno.xml;1898_Anklam_Der-wilde-Arno.xml
Bernhard_Marie_Heimatluft.xml;1905_Bernhard_Heimatluft.xml
Bindschedler_Ida_Die_Turnachkinder_im_Sommer.xml;1906_Bindschedler_Die-Turnachkinder-im.xml
Bindschedler_Ida_Die_Turnachkinder_im_Winter.xml;1909_Bindschedler_Die-Turnachkinder-im.xml
Boehlau_Helene_Altweimarische_Liebesgeschichten_Das_ehrbussliche_Weiblein.xml;1897_Boehlau_Das-ehrbussliche-Weiblein.xml
Boehlau_Helene_Altweimarische_Liebesgeschichten_Im_alten_Roedchen.xml;1897_Boehlau_Im-alten-Roedchen.xml
Boehlau_Helene_Ein_Sommerbuch.xml;1910_Boehlau_Ein-Sommerbuch.xml
Buechner_Luise_Der_kleine_Vagabund.xml;1877_Buechner_Der-kleine-Vagabund.xml
Buechner_Luise_Die_Fee_von_Argouges.xml;1878_Buechner_Die-Fee-von.xml
Christen_Ada_Als_er_heimkehrte.xml;1884_Christen_Als-er-heimkehrte.xml
Christen_Ada_Der_einsame_Spatz.xml;1884_Christen_Der-einsame-Spatz.xml
Christen_Ada_Kaethes_Federhut.xml;1876_Christen_Kaethes-Federhut.xml
Christen_Ada_Nachbar_Krippelmacher.xml;1884_Christen_Nachbar-Krippelmacher.xml
Dery_Juliane_Selige_Liebe.xml;1892_Dery_Selige-Liebe.xml
Dirnboeck-Schulz_Jenny_Aus_Mizis_Memoiren.xml;1895_Dirnboeck-Schulz_Aus-Mizis-Memoiren.xml
Dohm_Hedwig_Werde.xml;1894_Dohm_Werde-die-Du.xml
Frapan_Ilse_Altmodische_Leute.xml;1890_Frapan_Altmodische-Leute.xml
Frapan_Ilse_Uns_Ida.xml;1890_Frapan_Uns-Ida.xml
Frapan_Ilse_Was_der_Alltag_dichtet_Ameise.xml;1899_Frapan_Ameise.xml
Frapan_Ilse_Was_der_Alltag_dichtet_Dort_oben.xml;1899_Frapan_Dort-oben.xml
Harder_Agnes_Schlumski.xml;1916_Harder_Schlumski.xml
Heimburg_Wilhelmine_Alte_Liebe_und_anderes_Grossmutters_Kathrin.xml;1904_Heimburg_Grossmutters-Kathrin.xml
Heimburg_Wilhelmine_Alte_Liebe_und_anderes_Maiblumen.xml;1904_Heimburg_Maiblumen.xml
Heimburg_Wilhelmine_Alte_Liebe_und_anderes_Originale.xml;1904_Heimburg_Originale.xml
Janitschek_Maria_Das_kleine_Huendchen.xml;1897_Janitschek_Das-kleine-Huendchen.xml
Janitschek_Maria_Kind_Gottes.xml;1897_Janitschek_Kind-Gottes.xml
Janitschek_Maria_Klare_Rechnung.xml;1897_Janitschek_Klare-Rechnung.xml
Koenig_Alma_Johanna_Schibes.xml;1920_Koenig_Schibes.xml
Niese_Charlotte_Aus_daenischer_Zeit.xml;1892_Niese_Aus-daenischer-Zeit.xml
Niese_Charlotte_Der_verrueckte_Flinsheim.xml;1914_Niese_Der-verrueckte-Flinsheim.xml
Niese_Charlotte_Die_falschen_Weihnachtsbaeume.xml;1920_Niese_Die-falschen-Weihnachtsbaeume.xml
Niese_Charlotte_Geschichten_aus_Corisande_Corisande.xml;1896_Niese_Corisande.xml
Pappenheim_Bertha_Erzaehlungen_Im_Storchenland.xml;1916_Pappenheim_Im-Storchenland.xml
Sapper_Agnes_Das_kleine_Dummerle_Das_Mooserl.xml;1901_Sapper_Das-Mooserl.xml
Sapper_Agnes_Das_kleine_Dummerle_Helf_wer_helfen_kann.xml;1901_Sapper_Helf-wer-helfen.xml
Sapper_Agnes_Die_Familie_Pfaeffling.xml;1907_Sapper_Die-Familie-Pfaeffling.xml
Spyri_Johanna_Am_Felsensprung.xml;1886_Spyri_Am-Felsensprung.xml
Spyri_Johanna_Aus_dem_Leben.xml;1901_Spyri_Aus-dem-Leben.xml
Spyri_Johanna_Einer_vom_Hause_Lesa.xml;1890_Spyri_Einer-vom-Hause.xml
Spyri_Johanna_Rosenresli.xml;1882_Spyri_Rosenresli.xml
Spyri_Johanna_Und_wer_nur_Gott.xml;1882_Spyri_Und-wer-nur.xml
Spyri_Johanna_Was_soll.xml;1874_Spyri_Was-soll-denn.xml
von_Buelow_Frieda_Die_schoensten_Novellen_Die_stilisierte_Frau.xml;1893_von-Buelow_Die-stilisierte-Frau.xml
von_Buelow_Frieda_Die_schoensten_Novellen_Sie_und_Er.xml;1893_von-Buelow_Sie-und-Er.xml
von_Ebner-Eschenbach_Marie_Der_gute_Mond.xml;1886_von-Ebner-Eschenbach_Der-gute-Mond.xml
von_Ebner-Eschenbach_Marie_Der_Herr_Hofrat.xml;1912_von-Ebner-Eschenbach_Der-Herr-Hofrat.xml
von_Ebner-Eschenbach_Marie_Der_Vorzugsschueler.xml;1898_von-Ebner-Eschenbach_Der-Vorzugsschueler.xml
von_Ebner-Eschenbach_Marie_Die_Freiherren_von_Gemperlein.xml;1889_von-Ebner-Eschenbach_Die-Freiherren-von.xml
von_Ebner-Eschenbach_Marie_Die_Spitzin.xml;1901_von-Ebner-Eschenbach_Die-Spitzin.xml
von_Ebner-Eschenbach_Marie_Ein_Spaetgeborner.xml;1875_von-Ebner-Eschenbach_Ein-Spaetgeborner.xml
von_Ebner-Eschenbach_Marie_Maslans_Frau.xml;1901_von-Ebner-Eschenbach_Maslans-Frau.xml
von_Ebner-Eschenbach_Marie_Oversberg.xml;1892_von-Ebner-Eschenbach_Oversberg.xml
von_Eschstruth_Nataly_Hofluft.xml;1889_von-Eschstruth_Hofluft.xml
von_Francois_Louise_Der_Katzenjunker.xml;1879_von-Francois_Der-Katzenjunker.xml
von_Francois_Louise_Phosphorus_Hollunder.xml;1881_von-Francois_Phosphorus-Hollunder.xml
von_Heyking_Elisabeth_Aus_dem_Land.xml;1903_von-Heyking_Aus-dem-Land.xml
von_Heyking_Elisabeth_Das_Geheimnis_des_Amerikaners.xml;1905_von-Heyking_Das-Geheimnis-des.xml
von_Heyking_Elisabeth_Ueber_einen_Hund.xml;1905_von-Heyking_Ueber-einen-Hund.xml
von_Meysenbug_Malwida_Der_Pfad_der_Aebtissin.xml;1907_von-Meysenbug_Der-Pfad-der.xml
Wildermuth_Ottilie_Die_alte_Freundin_Das_Osterlied.xml;1900_Wildermuth_Das-Osterlied.xml
Wildermuth_Ottilie_Die_alte_Freundin_Des_Herrn_Pfarrers_Kuh.xml;1900_Wildermuth_Des-Herrn-Pfarrers.xml
Wildermuth_Ottilie_Die_alte_Freundin_Es_ging_ein_Engel_durch_das_Haus.xml;1900_Wildermuth_Es-ging-ein.xml
Woerishoeffer_Sophie_Gerettet_aus_Sibirien.xml;1885_Woerishoeffer_Gerettet-aus-Sibirien.xml
Woerishoeffer_Sophie_Onnen_Visser.xml;1885_Woerishoeffer_Onnen-Visser-Der.xml
Woerishoeffer_Sophie_Robert_des_Schiffsjungen_Fahrten.xml;1877_Woerishoeffer_Robert-des-Schiffsjungen.xml
zu_Reventlow_Franziska_Das_Logierhaus_Zur.xml;1917_zu-Reventlow_Das-Logierhaus-Zur.xml
zu_Reventlow_Franziska_Das_polierte_Maennchen.xml;1917_zu-Reventlow_Das-polierte-Maennchen.xml
zu_Reventlow_Franziska_Der_Herr_Fischoetter.xml;1917_zu-Reventlow_Der-Herr-Fischoetter.xml
zu_Reventlow_Franziska_Die_Silberwanze.xml;1917_zu-Reventlow_Die-Silberwanze.xml
